tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	fen	count	Duplicate with	FULL	tags	Problem ID	Cluster
731	1569.0	44.96	53336.0	41.0	3.0	https://lichess.org/analysis/r1b2rk1/ppp2ppp/1b3N2/3q4/3p4/Q4N2/PPP2KPP/R1B1R3_b_-_-_0_12	4312		 1. ... gxf6 2. Qxf8+ Kxf8 3. Bh6+ Kg8 4. Re8#	Attacking f7/f2	731.0	6.0
746	876.0	43.96	329720.0	46.0	1.0	https://lichess.org/analysis/r3k2r/ppp1b2p/2n1pNp1/1Q1q4/2pp4/8/PPP2PPP/R1B1R1K1_b_kq_-_1_1	18606		 1. ... Bxf6 2. Qxd5	Pin	746.0	11.0
27811	1087.0	45.58	234263.0	92.0	2.0	https://lichess.org/analysis/r4rk1/p4pp1/5q1p/n1pP1b2/2P3n1/5N2/PPQ1B1Pb/RNB1R2K_w_-_-	16218		 21. Bd3 Bxd3 22. Qxd3 Nf2+	Decoy / Deflection	27811.0	11.0
905	873.0	43.31	367968.0	60.0	3.0	https://lichess.org/analysis/2r3k1/8/5P2/Q3P2p/2q4P/8/P4bP1/5R1K_w_-_-_1_2	16120		 1. Rxf2 Qxh4+ 2. Kg1 Rc1+ 3. Rf1 Qd4+	Remove the Defender	905.0	11.0
48779	1244.0	45.65	230125.0	72.0	4.0	https://lichess.org/analysis/8/6b1/6P1/B7/P1k5/8/8/7K_b_-_-	16111		 1. ... Kb3 2. Bc3 Bxc3 3. a5 Bxa5 4. g7 Bc3 5. g8=Q+	Sacrifice	48779.0	11.0
766	400.0	40.15	297298.0	64.0	2.0	https://lichess.org/analysis/r1b1rqk1/5p2/5PQ1/ppp1B3/8/1P1P3R/P5PP/5RK1_b_-_-_1_1	14105		 1. ... fxg6 2. f7+ Qxf7 3. Rh8#	Mate in 2	766.0	11.0
52316	1311.0	45.51	236936.0	91.0	3.0	https://lichess.org/analysis/2r2rk1/1p1nppbp/pq1p2p1/8/3NPPb1/BPP5/P1B3PP/2R1QRK1_w_-_-	13876		 19. Qe3 Rxc3 20. Qxc3 Bxd4+ 21. Qxd4 Qxd4+	Sacrifice	52316.0	11.0
51998	1205.0	45.68	230093.0	70.0	2.0	https://lichess.org/analysis/r2qr2k/pp4pp/2nbRn2/2p3N1/2Q3P1/6NP/1PPB1P2/2K2R2_b_-_-	13871		 18. ... Ne5 19. Rxe5 Bxe5 20. Nf7+	Fork / Double Attack	51998.0	11.0
793	1482.0	45.15	383144.0	71.0	3.0	https://lichess.org/analysis/1r4kR/1p2nrb1/p2qp1p1/4NpQ1/3P4/3B2P1/PP3P2/1K5R_b_-_-_1_1	12905		 1. ... Bxh8 2. Rxh8+ Kxh8 3. Nxf7+ Kg7 4. Nxd6	Exchange Sacrifice	793.0	11.0
29466	1554.0	44.99	228489.0	121.0	4.0	https://lichess.org/analysis/rn2k2r/pp1bqppp/8/1B6/6n1/2N1bN2/PP3PPP/R2QR1K1_w_kq_-	11534		 14. Nd5 Bxf2+ 15. Kh1 Bxe1 16. Nxe7 Nf2+ 17. Kg1 Nxd1	Fork / Double Attack	29466.0	11.0
